apple	Europe and Central Asia	Most popular fruit 
orange	India	In Sanskrit is called naranga
banana	South East Asian jungles	The English name origins in Africa 
watermelon	grow on sprawling vines 	Sweet and waterry
peach	China	Romans called them persicum
pineap	Brazil	In century a sign of luxury
kiwi	China	 In New Zealand it was called Chinese Gooseberies
Mango 	South America	Have been used in art and fabrics for centuries
pomegranate	Central and South-East Asia, Tropical Africa	Helps in improving gut health, digestion
apricot	Parts of Asia	Grown for thousands of years in parts of China
pear	All over the world	Has body shape named after it 
